"","statistic","p.value","parameter","method","p_BH","significant"
"X88577_1074.305_11.728_NA;(2S,3S,4S,5R,6R)-6-[[(3S,4S,6aR,6bS,8R,8aR,9R,10R,12aS,14bR)-8a-(acetyloxymethyl)-8,9-dihydroxy-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-10-[(E)-2-methylbut-2-enoyl]oxy-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4-hydroxy-3,5-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]oxane-2-carboxylic acid",12.0939274212107,0.0599059038451914,6,"Kruskal-Wallis rank sum test",0.1948499580698,"Nonsignificant"
"X70140_351.253_9.201_NA",12.092661653366,0.0599332752947044,6,"Kruskal-Wallis rank sum test",0.1948499580698,"Nonsignificant"
"X73536_305.174_9.596_NA",12.0922447309189,0.0599422935241124,6,"Kruskal-Wallis rank sum test",0.1948499580698,"Nonsignificant"
"X3654_264.123_1.786_NA",12.0896562308164,0.0599983121644192,6,"Kruskal-Wallis rank sum test",0.194951886045077,"Nonsignificant"
"X28850_458.202_4.589_NA",12.0888147125027,0.0600165342103134,6,"Kruskal-Wallis rank sum test",0.194951886045077,"Nonsignificant"
"X51544_347.185_6.694_NA",12.0856660527932,0.0600847600957025,6,"Kruskal-Wallis rank sum test",0.195048467716705,"Nonsignificant"
"X87529_474.378_11.391_NA",12.0842947123028,0.0601144970901947,6,"Kruskal-Wallis rank sum test",0.195048467716705,"Nonsignificant"
"X75811_439.21_9.86_NA",12.0835251688152,0.0601311903226836,6,"Kruskal-Wallis rank sum test",0.195048467716705,"Nonsignificant"
"X63211_326.232_8.149_NA",12.0834842439125,0.0601320782017074,6,"Kruskal-Wallis rank sum test",0.195048467716705,"Nonsignificant"
"X74013_310.273_9.658_NA",12.0744091467158,0.0603292658146534,6,"Kruskal-Wallis rank sum test",0.195511997728506,"Nonsignificant"
"X13581_349.184_3.226_NA",12.0740715162676,0.0603366135461909,6,"Kruskal-Wallis rank sum test",0.195511997728506,"Nonsignificant"
"X71338_371.184_9.403_NA",12.0727235522817,0.0603659570754919,6,"Kruskal-Wallis rank sum test",0.195511997728506,"Nonsignificant"
"X4674_165.112_2.074_NA",12.0721085723875,0.060379348830169,6,"Kruskal-Wallis rank sum test",0.195511997728506,"Nonsignificant"
"X73949_317.211_9.744_NA",12.0719638837734,0.0603824999583861,6,"Kruskal-Wallis rank sum test",0.195511997728506,"Nonsignificant"
"X88059_1222.343_11.529_NA;Contaminant vial septum ThermoFisher C5000-44B",12.0684689082162,0.0604586622681171,6,"Kruskal-Wallis rank sum test",0.195653201494572,"Nonsignificant"
"X57488_352.321_7.415_NA",12.0679880401136,0.0604691482841782,6,"Kruskal-Wallis rank sum test",0.195653201494572,"Nonsignificant"
"X74783_371.221_9.743_NA",12.0652112748107,0.0605297325974957,6,"Kruskal-Wallis rank sum test",0.195779554883113,"Nonsignificant"
"X87052_258.221_11.243_NA",12.0616986476007,0.0606064527669632,6,"Kruskal-Wallis rank sum test",0.195957990240836,"Nonsignificant"
"X54296_603.436_7.003_NA",12.0585123797831,0.0606761227796179,6,"Kruskal-Wallis rank sum test",0.196060018376343,"Nonsignificant"
"X74329_339.216_9.69_NA",12.0573050951504,0.0607025403007548,6,"Kruskal-Wallis rank sum test",0.196060018376343,"Nonsignificant"
"X77403_556.347_10.028_NA",12.057110701862,0.0607067949655885,6,"Kruskal-Wallis rank sum test",0.196060018376343,"Nonsignificant"
"X15374_336.144_3.402_NA",12.0563126662574,0.0607242643805302,6,"Kruskal-Wallis rank sum test",0.196060018376343,"Nonsignificant"
"X24147_448.275_4.192_NA",12.0509617352159,0.060841519440159,6,"Kruskal-Wallis rank sum test",0.196368865725923,"Nonsignificant"
"X1501_302.814_0.736_NA",12.0470201555147,0.0609280255084053,6,"Kruskal-Wallis rank sum test",0.196551856773868,"Nonsignificant"
"X56935_396.253_7.338_NA",12.046408839779,0.0609414522927337,6,"Kruskal-Wallis rank sum test",0.196551856773868,"Nonsignificant"
"X41678_223.133_5.536_NA",12.0446593001842,0.0609798938904887,6,"Kruskal-Wallis rank sum test",0.196606097607207,"Nonsignificant"
"X3501_353.134_1.774_NA",12.0385205647636,0.0611149544785224,6,"Kruskal-Wallis rank sum test",0.196971700148432,"Nonsignificant"
"X77405_279.195_9.995_NA",12.0355918764069,0.0611794872361066,6,"Kruskal-Wallis rank sum test",0.197109815007329,"Nonsignificant"
"X751_222.879_0.71_NA",12.0318702680581,0.0612615828229893,6,"Kruskal-Wallis rank sum test",0.197304396396252,"Nonsignificant"
"X71735_291.122_9.399_NA",12.0259463883774,0.0613924692111773,6,"Kruskal-Wallis rank sum test",0.19759107106568,"Nonsignificant"
"X57814_384.253_7.452_NA",12.0256471250257,0.0613990882158352,6,"Kruskal-Wallis rank sum test",0.19759107106568,"Nonsignificant"
"X75250_484.384_9.795_NA",12.0239014458996,0.0614377117267101,6,"Kruskal-Wallis rank sum test",0.19759107106568,"Nonsignificant"
"X41986_423.201_5.793_NA",12.0231813996317,0.0614536494537099,6,"Kruskal-Wallis rank sum test",0.19759107106568,"Nonsignificant"
"X24406_340.161_4.214_NA",12.0229281767956,0.0614592552764784,6,"Kruskal-Wallis rank sum test",0.19759107106568,"Nonsignificant"
"X91927_732.577_12.879_NA",12.0206670759156,0.061509332311279,6,"Kruskal-Wallis rank sum test",0.197682166622181,"Nonsignificant"
"X5661_229.154_2.265_NA;Spectral Match to PyroGlu-Val from NIST14",12.0161141804788,0.0616102808404801,6,"Kruskal-Wallis rank sum test",0.197936633710829,"Nonsignificant"
"X63082_375.179_7.966_NA",12.0087988541028,0.0617728004185656,6,"Kruskal-Wallis rank sum test",0.198388661746944,"Nonsignificant"
"X70739_724.338_9.279_NA",12.0062794147739,0.0618288649195349,6,"Kruskal-Wallis rank sum test",0.198498601641388,"Nonsignificant"
"X53319_370.259_6.887_NA",11.9937226936022,0.0621089899994456,6,"Kruskal-Wallis rank sum test",0.199327545737719,"Nonsignificant"
"X66119_265.104_8.525_NA",11.9901078699526,0.0621898498513423,6,"Kruskal-Wallis rank sum test",0.199516624858294,"Nonsignificant"
"X74381_520.311_9.686_NA",11.9886817065684,0.0622217784476507,6,"Kruskal-Wallis rank sum test",0.199548645377792,"Nonsignificant"
"X57987_199.18_7.471_NA",11.98204071819,0.0623706552219648,6,"Kruskal-Wallis rank sum test",0.199872712104261,"Nonsignificant"
"X51399_265.143_6.67_NA",11.9819290976059,0.062373160332428,6,"Kruskal-Wallis rank sum test",0.199872712104261,"Nonsignificant"
"X1071_297.933_0.682_NA",11.9812333742582,0.0623887766115147,6,"Kruskal-Wallis rank sum test",0.199872712104261,"Nonsignificant"
"X62228_257.174_8.015_NA;NCGC00385871-01_C15H22O4_2,8-Dihydroxy-5,5,8-trimethyl-11-oxatetracyclo[7.3.1.0~1,9~.0~3,7~]tridecan-10-one",11.9784116485883,0.0624521504747744,6,"Kruskal-Wallis rank sum test",0.199965203787156,"Nonsignificant"
"X64636_643.345_8.363_NA",11.9779896100939,0.0624616342669954,6,"Kruskal-Wallis rank sum test",0.199965203787156,"Nonsignificant"
"X73878_432.332_9.642_NA",11.9558394720688,0.0629612535799856,6,"Kruskal-Wallis rank sum test",0.201493740777624,"Nonsignificant"
"X3589_236.128_1.809_NA",11.9495805197462,0.063103099385112,6,"Kruskal-Wallis rank sum test",0.201857030742467,"Nonsignificant"
"X21828_303.143_3.99_NA",11.9488720073665,0.0631191749231008,6,"Kruskal-Wallis rank sum test",0.201857030742467,"Nonsignificant"
"X81042_403.283_10.416_NA",11.9416820135052,0.0632825241686665,6,"Kruskal-Wallis rank sum test",0.202156966361523,"Nonsignificant"
"X78272_505.313_10.116_NA",11.9415899324739,0.0632846186888239,6,"Kruskal-Wallis rank sum test",0.202156966361523,"Nonsignificant"
"X90492_549.285_12.352_NA",11.9410610099073,0.0632966510623732,6,"Kruskal-Wallis rank sum test",0.202156966361523,"Nonsignificant"
"X76510_303.231_9.992_NA",11.9408302639656,0.0633019009273268,6,"Kruskal-Wallis rank sum test",0.202156966361523,"Nonsignificant"
"X64994_406.258_8.411_NA",11.9386305504401,0.0633519684008576,6,"Kruskal-Wallis rank sum test",0.202201411533983,"Nonsignificant"
"X55132_279.159_7.182_NA",11.9382647841212,0.0633602971249799,6,"Kruskal-Wallis rank sum test",0.202201411533983,"Nonsignificant"
"X59578_361.164_7.669_NA",11.9369526294249,0.0633901840300452,6,"Kruskal-Wallis rank sum test",0.202225808140762,"Nonsignificant"
"X15324_297.19_3.391_NA",11.9321746470227,0.0634991222127703,6,"Kruskal-Wallis rank sum test",0.202436229087907,"Nonsignificant"
"X11141_298.148_3.008_NA",11.9315198485778,0.0635140651274893,6,"Kruskal-Wallis rank sum test",0.202436229087907,"Nonsignificant"
"X77231_383.206_10.005_NA",11.9311310620012,0.0635229390219752,6,"Kruskal-Wallis rank sum test",0.202436229087907,"Nonsignificant"
"X65851_352.321_8.57_NA",11.9259540617966,0.0636412112857196,6,"Kruskal-Wallis rank sum test",0.202742078840141,"Nonsignificant"
"X79368_598.452_10.233_NA",11.9221787395129,0.0637275896002225,6,"Kruskal-Wallis rank sum test",0.202946145234754,"Nonsignificant"
"X44548_289.142_5.926_NA",11.919896011344,0.0637798703669726,6,"Kruskal-Wallis rank sum test",0.202988712893612,"Nonsignificant"
"X2108_256.175_0.993_NA;Spectral Match to Hexaethylene glycol from NIST14",11.919478676288,0.0637894327776756,6,"Kruskal-Wallis rank sum test",0.202988712893612,"Nonsignificant"
"X91389_1178.207_12.582_NA;(2S,3S,4S,5R,6R)-6-[[(3S,4S,6aR,6bS,8R,8aR,9R,10R,12aS,14bR)-10-acetyloxy-8a-(acetyloxymethyl)-8,9-dihydroxy-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4-hydroxy-3,5-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]oxane-2-carboxylic acid",11.9184944446045,0.0638119897586884,6,"Kruskal-Wallis rank sum test",0.202988712893612,"Nonsignificant"
"X75731_303.195_9.852_NA;14-(hydroxymethyl)-5,9-dimethyltetracyclo[11.2.1.0�,�?.0?,?]hexadecan-5-ol",11.9176974626561,0.0638302606866296,6,"Kruskal-Wallis rank sum test",0.202988712893612,"Nonsignificant"
"X73126_441.226_9.555_NA",11.9085200532024,0.0640410030215795,6,"Kruskal-Wallis rank sum test",0.203587692123147,"Nonsignificant"
"X78465_494.331_10.137_NA",11.9004618722016,0.0642265745908278,6,"Kruskal-Wallis rank sum test",0.204057727328343,"Nonsignificant"
"X57306_269.174_7.388_NA;(�)-alpha-Bisabolol - 40.0 eV",11.9001509105791,0.0642337456680287,6,"Kruskal-Wallis rank sum test",0.204057727328343,"Nonsignificant"
"X1224_394.818_0.704_NA",11.8973782484143,0.0642977186848647,6,"Kruskal-Wallis rank sum test",0.204189611695002,"Nonsignificant"
"X81714_503.336_10.504_NA",11.8930606711684,0.0643974544669673,6,"Kruskal-Wallis rank sum test",0.204434935758962,"Nonsignificant"
"X29827_323.148_4.663_NA",11.8914748311847,0.0644341231752705,6,"Kruskal-Wallis rank sum test",0.204479946914331,"Nonsignificant"
"X76082_462.342_9.894_NA;Betaine Lipid DGCC 16:0",11.8896070759458,0.0644773352433136,6,"Kruskal-Wallis rank sum test",0.204545684589047,"Nonsignificant"
"X69952_217.143_9.188_NA;Spectral Match to Azelaic acid from NIST14",11.8881727030898,0.0645105388339675,6,"Kruskal-Wallis rank sum test",0.204579636930043,"Nonsignificant"
"X56161_342.227_7.243_NA",11.886013914467,0.0645605413634519,6,"Kruskal-Wallis rank sum test",0.204615266073118,"Nonsignificant"
"X19562_432.28_3.79_NA;Spectral Match to Nonaethylene glycol from NIST14",11.8852644771843,0.06457790843684,6,"Kruskal-Wallis rank sum test",0.204615266073118,"Nonsignificant"
"X81141_500.358_10.437_NA",11.8847554737057,0.0645897062834245,6,"Kruskal-Wallis rank sum test",0.204615266073118,"Nonsignificant"
"X54803_273.133_7.076_NA",11.8838027677438,0.0646117937632999,6,"Kruskal-Wallis rank sum test",0.204615266073118,"Nonsignificant"
"X73773_243.178_9.511_NA;Spectral Match to (Z,E)-Tetradeca-9,12-dienol from NIST14",11.8807934315531,0.0646816079012558,6,"Kruskal-Wallis rank sum test",0.204765034484059,"Nonsignificant"
"X76209_281.174_9.904_NA",11.8792792101493,0.0647167629601148,6,"Kruskal-Wallis rank sum test",0.204805015257001,"Nonsignificant"
"X2478_264.123_1.126_NA",11.8752788009004,0.0648097237956781,6,"Kruskal-Wallis rank sum test",0.205022501490294,"Nonsignificant"
"X61793_288.18_7.963_NA",11.8724677716391,0.0648751198271076,6,"Kruskal-Wallis rank sum test",0.205022501490294,"Nonsignificant"
"X80246_548.394_10.325_NA",11.8721954302439,0.0648814588403789,6,"Kruskal-Wallis rank sum test",0.205022501490294,"Nonsignificant"
"X88734_538.519_11.784_NA",11.8714775181037,0.0648981716933349,6,"Kruskal-Wallis rank sum test",0.205022501490294,"Nonsignificant"
"X87701_580.493_11.422_NA",11.8714747675423,0.0648982357335094,6,"Kruskal-Wallis rank sum test",0.205022501490294,"Nonsignificant"
"X54623_486.363_7.052_NA",11.8690479844485,0.0649547602745976,6,"Kruskal-Wallis rank sum test",0.205129795212449,"Nonsignificant"
"X3008_333.116_1.433_NA",11.8679558011049,0.064980214209843,6,"Kruskal-Wallis rank sum test",0.205138926248574,"Nonsignificant"
"X78362_454.337_10.124_NA",11.8659928018892,0.0650259861610008,6,"Kruskal-Wallis rank sum test",0.205212171529267,"Nonsignificant"
"X87943_558.399_11.483_NA",11.8531877571244,0.0653252977033637,6,"Kruskal-Wallis rank sum test",0.206085220929557,"Nonsignificant"
"X7558_188.091_2.55_NA",11.8501406793534,0.0653967088594017,6,"Kruskal-Wallis rank sum test",0.206238944484801,"Nonsignificant"
"X47748_313.259_6.251_NA",11.8474524248005,0.0654597705232323,6,"Kruskal-Wallis rank sum test",0.20630927550053,"Nonsignificant"
"X27038_320.222_4.347_NA",11.8472554737057,0.0654643928529509,6,"Kruskal-Wallis rank sum test",0.20630927550053,"Nonsignificant"
"X85211_504.389_10.91_NA",11.8453844757109,0.0655083191470954,6,"Kruskal-Wallis rank sum test",0.206349150024858,"Nonsignificant"
"X1475_262.916_0.739_NA",11.8447833905826,0.0655224368809686,6,"Kruskal-Wallis rank sum test",0.206349150024858,"Nonsignificant"
"X77632_275.2_10.047_NA;KU036-10",11.8412318395744,0.065605909816054,6,"Kruskal-Wallis rank sum test",0.206456857989223,"Nonsignificant"
"X84308_522.378_10.972_NA",11.8396639042357,0.0656427926126373,6,"Kruskal-Wallis rank sum test",0.206456857989223,"Nonsignificant"
"X53057_320.258_6.864_NA",11.8395308983015,0.0656459222138048,6,"Kruskal-Wallis rank sum test",0.206456857989223,"Nonsignificant"
"X43655_199.133_5.849_NA",11.8394081235931,0.065648811198739,6,"Kruskal-Wallis rank sum test",0.206456857989223,"Nonsignificant"
"X67579_257.099_8.795_NA",11.838440663574,0.0656715803987313,6,"Kruskal-Wallis rank sum test",0.206456857989223,"Nonsignificant"
"X12896_369.117_3.085_NA",11.83753580929,0.0656928827719778,6,"Kruskal-Wallis rank sum test",0.206456857989223,"Nonsignificant"
"X87936_556.399_11.486_NA",11.8340022511029,0.0657761320852506,6,"Kruskal-Wallis rank sum test",0.206600109425786,"Nonsignificant"
"X57513_308.206_7.408_NA",11.8330449900785,0.0657987015653313,6,"Kruskal-Wallis rank sum test",0.206600109425786,"Nonsignificant"
"X47277_282.227_6.215_NA",11.8327086134778,0.0658066340625908,6,"Kruskal-Wallis rank sum test",0.206600109425786,"Nonsignificant"
"X81146_648.395_10.445_NA",11.8309699201965,0.0658476503425492,6,"Kruskal-Wallis rank sum test",0.20665752050896,"Nonsignificant"
"X44287_287.126_5.973_NA",11.8207182320442,0.0660899710170516,6,"Kruskal-Wallis rank sum test",0.207346451513814,"Nonsignificant"
"X61945_503.319_7.981_NA;Spectral Match to .beta.-Cryptoxanthin from NIST14",11.8193594080103,0.0661221514756097,6,"Kruskal-Wallis rank sum test",0.207375854162209,"Nonsignificant"
"X69284_537.183_9.086_NA",11.8179340780767,0.066155922512754,6,"Kruskal-Wallis rank sum test",0.20741022327102,"Nonsignificant"
"X90172_800.602_12.234_NA;DGCC (40:7)",11.8146997135257,0.0662326149696315,6,"Kruskal-Wallis rank sum test",0.207579088350186,"Nonsignificant"
"X51635_392.16_6.696_NA",11.8128606507059,0.066276258973662,6,"Kruskal-Wallis rank sum test",0.20764429586097,"Nonsignificant"
"X10726_284.185_2.923_NA",11.8097887251892,0.0663492200720554,6,"Kruskal-Wallis rank sum test",0.207791385339265,"Nonsignificant"
"X79481_506.311_10.244_NA",11.8089599959075,0.0663689158628712,6,"Kruskal-Wallis rank sum test",0.207791385339265,"Nonsignificant"
"X74678_600.431_9.736_NA",11.8013812154696,0.0665492856326931,6,"Kruskal-Wallis rank sum test",0.208284373484491,"Nonsignificant"
"X61653_194.154_7.956_NA",11.7980432780847,0.0666288696937492,6,"Kruskal-Wallis rank sum test",0.208461694169156,"Nonsignificant"
"X62647_207.186_8.074_NA",11.782359393662,0.0670039867614331,6,"Kruskal-Wallis rank sum test",0.209517845101579,"Nonsignificant"
"X74833_287.2_9.79_NA",11.7820032739921,0.0670125267878784,6,"Kruskal-Wallis rank sum test",0.209517845101579,"Nonsignificant"
"X69600_659.468_9.124_NA",11.7746143398696,0.0671899459475922,6,"Kruskal-Wallis rank sum test",0.210000339826576,"Nonsignificant"
"X47433_454.206_6.125_NA",11.7721378146102,0.0672495078679777,6,"Kruskal-Wallis rank sum test",0.210114269943523,"Nonsignificant"
"X81032_354.263_10.318_NA",11.7692653979946,0.067318652231668,6,"Kruskal-Wallis rank sum test",0.210258050872664,"Nonsignificant"
"X41573_324.253_5.671_NA",11.7658788622877,0.067400256638687,6,"Kruskal-Wallis rank sum test",0.210440636455681,"Nonsignificant"
"X87078_997.309_11.34_NA;Contaminant vial septum ThermoFisher C5000-44B",11.7629386163837,0.0674711809286665,6,"Kruskal-Wallis rank sum test",0.210589762102106,"Nonsignificant"
"X27002_332.222_4.498_NA",11.759883364027,0.0675449523289834,6,"Kruskal-Wallis rank sum test",0.210709690736564,"Nonsignificant"
"X17939_242.102_3.701_NA",11.75868631062,0.0675738763793501,6,"Kruskal-Wallis rank sum test",0.210709690736564,"Nonsignificant"
"X49160_265.143_6.428_NA;Massbank:NA000815 Artemisinin",11.7584688970738,0.0675791309049518,6,"Kruskal-Wallis rank sum test",0.210709690736564,"Nonsignificant"
"X67161_289.252_8.754_NA;Spectral Match to Myristoleic acid from NIST14",11.7571221585886,0.0676116877445354,6,"Kruskal-Wallis rank sum test",0.210738932112895,"Nonsignificant"
"X92588_294.206_13.508_NA",11.7544582565992,0.0676761290777777,6,"Kruskal-Wallis rank sum test",0.210867500197106,"Nonsignificant"
"X58770_349.201_7.599_NA",11.7508466339267,0.0677635867963925,6,"Kruskal-Wallis rank sum test",0.211040460360072,"Nonsignificant"
"X61770_612.374_7.987_NA",11.7502492651793,0.0677780625001552,6,"Kruskal-Wallis rank sum test",0.211040460360072,"Nonsignificant"
"X62254_317.211_8.024_NA",11.7452424800491,0.0678995013084564,6,"Kruskal-Wallis rank sum test",0.211325798666897,"Nonsignificant"
"X64856_651.024_8.399_NA",11.7438075506445,0.067934342280836,6,"Kruskal-Wallis rank sum test",0.211325798666897,"Nonsignificant"
"X19573_236.128_3.896_NA",11.7431041538777,0.0679514272101897,6,"Kruskal-Wallis rank sum test",0.211325798666897,"Nonsignificant"
"X28330_442.207_4.618_NA",11.7426411909147,0.0679626743622974,6,"Kruskal-Wallis rank sum test",0.211325798666897,"Nonsignificant"
"X21936_281.157_3.999_NA",11.7388991201145,0.0680536467026792,6,"Kruskal-Wallis rank sum test",0.211536326776328,"Nonsignificant"
"X51409_400.233_6.654_NA",11.7344485369347,0.0681619896645823,6,"Kruskal-Wallis rank sum test",0.211773235324842,"Nonsignificant"
"X3806_295.128_1.803_NA",11.7338551258441,0.0681764474038509,6,"Kruskal-Wallis rank sum test",0.211773235324842,"Nonsignificant"
"X12029_193.107_3.069_NA",11.7321681734306,0.0682175633936958,6,"Kruskal-Wallis rank sum test",0.211828581412391,"Nonsignificant"
"X41268_373.221_5.645_NA",11.7269937257087,0.0683438225605942,6,"Kruskal-Wallis rank sum test",0.212094091354829,"Nonsignificant"
"X51923_386.254_6.831_NA",11.7267520974013,0.0683497236768203,6,"Kruskal-Wallis rank sum test",0.212094091354829,"Nonsignificant"
"X67736_597.347_8.822_NA",11.7249028033559,0.0683949032281719,6,"Kruskal-Wallis rank sum test",0.212109087169096,"Nonsignificant"
"X88837_540.462_11.658_NA",11.7241296190174,0.0684138008251627,6,"Kruskal-Wallis rank sum test",0.212109087169096,"Nonsignificant"
"X65359_470.332_8.465_NA",11.7233232697121,0.0684335141435418,6,"Kruskal-Wallis rank sum test",0.212109087169096,"Nonsignificant"
"X20988_274.18_3.92_NA",11.7221812973195,0.0684614416065687,6,"Kruskal-Wallis rank sum test",0.212109087169096,"Nonsignificant"
"X71915_574.315_9.418_NA",11.721782279517,0.0684712022482728,6,"Kruskal-Wallis rank sum test",0.212109087169096,"Nonsignificant"
"X66035_648.502_8.568_NA",11.719508389605,0.0685268498834834,6,"Kruskal-Wallis rank sum test",0.212209168644629,"Nonsignificant"
"X24160_504.264_4.192_NA",11.7173291385308,0.068580220598188,6,"Kruskal-Wallis rank sum test",0.212302133360138,"Nonsignificant"
"X63717_321.169_8.164_NA",11.7156716799673,0.0686208380607119,6,"Kruskal-Wallis rank sum test",0.212355568294075,"Nonsignificant"
"X28652_356.17_4.618_NA",11.712246777164,0.0687048385425687,6,"Kruskal-Wallis rank sum test",0.212505048339532,"Nonsignificant"
"X50465_267.159_6.57_NA",11.711796603233,0.0687158867265975,6,"Kruskal-Wallis rank sum test",0.212505048339532,"Nonsignificant"
"X75900_532.291_9.87_NA",11.707711786372,0.0688162113128891,6,"Kruskal-Wallis rank sum test",0.212742942283845,"Nonsignificant"
"X73204_249.185_9.565_NA",11.702598731328,0.0689419800551017,6,"Kruskal-Wallis rank sum test",0.212943542742495,"Nonsignificant"
"X76710_465.304_9.948_NA",11.7022815633313,0.0689497885915766,6,"Kruskal-Wallis rank sum test",0.212943542742495,"Nonsignificant"
"X79414_996.463_10.236_NA",11.701798137917,0.0689616918804764,6,"Kruskal-Wallis rank sum test",0.212943542742495,"Nonsignificant"
"X54241_440.863_7_NA",11.7012665318942,0.0689747836973874,6,"Kruskal-Wallis rank sum test",0.212943542742495,"Nonsignificant"
"X2967_276.107_1.408_NA;Spectral Match to N-Acetyl-D-glucosamine from NIST14",11.6974703294455,0.0690683390557556,6,"Kruskal-Wallis rank sum test",0.213159992768136,"Nonsignificant"
"X87157_165.163_11.267_NA;(�)-beta-Pinene - 40.0 eV",11.6898543382042,0.0692563837729245,6,"Kruskal-Wallis rank sum test",0.213667811762277,"Nonsignificant"
"X67805_614.374_8.819_NA;NCGC00168955-03![3-hydroxy-1-oxo-1-(2,3,4,5,6-pentahydroxyhexoxy)decan-5-yl] 3,5-dihydroxydecanoate",11.6839037241662,0.0694036372031308,6,"Kruskal-Wallis rank sum test",0.213953438958294,"Nonsignificant"
"X61508_345.169_8.021_NA",11.6832693881728,0.0694193514346846,6,"Kruskal-Wallis rank sum test",0.213953438958294,"Nonsignificant"
"X81028_515.357_10.43_NA;NCGC00381059-01!5-[5-(3,5-dihydroxydecanoyloxy)-3-hydroxydecanoyl]oxy-3-hydroxydecanoic acid",11.6832609459081,0.0694195605946952,6,"Kruskal-Wallis rank sum test",0.213953438958294,"Nonsignificant"
"X24551_207.138_4.243_NA",11.6801590955597,0.0694964493121747,6,"Kruskal-Wallis rank sum test",0.214026102841587,"Nonsignificant"
"X6379_239.149_2.38_NA;Spectral Match to Hexaethylene glycol from NIST14",11.6785425618989,0.0695365510666568,6,"Kruskal-Wallis rank sum test",0.214026102841587,"Nonsignificant"
"X89091_574.386_11.906_NA",11.6772961351876,0.0695674860398465,6,"Kruskal-Wallis rank sum test",0.214026102841587,"Nonsignificant"
"X85661_335.258_10.974_NA;NCGC00180720-03_C20H32O3_1-Naphthalenepentanoic acid, 1,4,4a,5,6,7,8,8a-octahydro-beta,2,5,5,8a-pentamethyl-4-oxo-, (betaS,1S,8aR)-",11.6766125607172,0.0695844570071998,6,"Kruskal-Wallis rank sum test",0.214026102841587,"Nonsignificant"
"X62541_303.158_8.11_NA",11.6763735420503,0.0695903919759633,6,"Kruskal-Wallis rank sum test",0.214026102841587,"Nonsignificant"
"X67570_373.306_8.795_NA",11.6751290314643,0.0696213014138805,6,"Kruskal-Wallis rank sum test",0.214026102841587,"Nonsignificant"
"X83779_756.492_10.725_NA",11.674554941682,0.0696355641265083,6,"Kruskal-Wallis rank sum test",0.214026102841587,"Nonsignificant"
"X74958_901.367_9.766_NA",11.6737773685287,0.0696548864809956,6,"Kruskal-Wallis rank sum test",0.214026102841587,"Nonsignificant"
"X11249_402.233_2.976_NA",11.6735190300798,0.0696613071719873,6,"Kruskal-Wallis rank sum test",0.214026102841587,"Nonsignificant"
"X39197_211.133_5.564_NA",11.6728258645386,0.0696785376607014,6,"Kruskal-Wallis rank sum test",0.214026102841587,"Nonsignificant"
"X77796_451.305_10.063_NA",11.6712093308778,0.0697187361954971,6,"Kruskal-Wallis rank sum test",0.214077254133556,"Nonsignificant"
"X15573_207.122_3.444_NA",11.669604803354,0.0697586572961729,6,"Kruskal-Wallis rank sum test",0.214111492211854,"Nonsignificant"
"X67112_469.184_8.735_NA",11.6687325904657,0.069780367033476,6,"Kruskal-Wallis rank sum test",0.214111492211854,"Nonsignificant"
"X84519_435.326_10.823_NA",11.6679225496215,0.0698005348565702,6,"Kruskal-Wallis rank sum test",0.214111492211854,"Nonsignificant"
"X81440_305.21_10.472_NA",11.6666973603437,0.0698310489528577,6,"Kruskal-Wallis rank sum test",0.214132848930652,"Nonsignificant"
"X85581_233.19_10.959_NA",11.6651721202586,0.069869053168625,6,"Kruskal-Wallis rank sum test",0.214147104219596,"Nonsignificant"
"X5875_300.144_2.422_NA",11.6646204215266,0.0698828044676136,6,"Kruskal-Wallis rank sum test",0.214147104219596,"Nonsignificant"
"X10072_305.157_2.851_NA",11.6618682218131,0.0699514413260174,6,"Kruskal-Wallis rank sum test",0.214285210423231,"Nonsignificant"
"X68338_308.258_8.919_NA",11.6598603437692,0.0700015547792521,6,"Kruskal-Wallis rank sum test",0.214295690357282,"Nonsignificant"
"X12663_266.138_3.137_NA",11.6598424391242,0.0700020017995081,6,"Kruskal-Wallis rank sum test",0.214295690357282,"Nonsignificant"
"X7906_260.164_2.803_NA",11.6588090853285,0.0700278057090611,6,"Kruskal-Wallis rank sum test",0.214302527602418,"Nonsignificant"
"X47496_247.132_6.237_NA",11.6526294250051,0.0701823011131546,6,"Kruskal-Wallis rank sum test",0.214683307676711,"Nonsignificant"
"X5506_400.16_2.242_NA",11.6519439328831,0.0701994581745339,6,"Kruskal-Wallis rank sum test",0.214683307676711,"Nonsignificant"
"X77330_421.258_10.015_NA",11.6506624718641,0.0702315419954995,6,"Kruskal-Wallis rank sum test",0.214709206396463,"Nonsignificant"
"X63149_372.217_8.151_NA",11.6494858809085,0.0702610120841385,6,"Kruskal-Wallis rank sum test",0.214727099787895,"Nonsignificant"
