"feature","cluster"
"X90184_980.277_12.362_NA;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one","cluster2"
"X90353_981.278_12.383_NA;(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-2-[[(3S,6S,8R,10R,12R,13R,14R,17S)-3,12-dihydroxy-4,4,8,10,14-pentamethyl-17-[(2S)-6-methyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-5-en-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol","cluster2"
"X91357_980.277_12.674_NA;(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-2-[[(3S,6S,8R,10R,12R,13R,14R,17S)-3,12-dihydroxy-4,4,8,10,14-pentamethyl-17-[(2S)-6-methyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-5-en-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol","cluster2"
"X88911_981.278_11.836_NA;(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-2-[[(3S,6S,8R,10R,12R,13R,14R,17S)-3,12-dihydroxy-4,4,8,10,14-pentamethyl-17-[(2S)-6-methyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-5-en-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol","cluster2"
"X89518_981.277_12.062_NA;(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-2-[[(3S,6S,8R,10R,12R,13R,14R,17S)-3,12-dihydroxy-4,4,8,10,14-pentamethyl-17-[(2S)-6-methyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-5-en-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol","cluster2"
"X92039_981.278_12.937_NA;(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-2-[[(3S,6S,8R,10R,12R,13R,14R,17S)-3,12-dihydroxy-4,4,8,10,14-pentamethyl-17-[(2S)-6-methyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-5-en-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol","cluster2"
"X80910_243.174_10.41_NA","cluster2"
"X85047_259.205_10.892_NA;Spectral Match to Sumaresinolic acid from NIST14","cluster2"
"X92547_167.154_13.24_NA","cluster2"
"X87239_287.236_11.289_NA","cluster2"
"X67985_333.205_8.764_NA","cluster2"
"X70374_317.211_9.299_NA","cluster2"
"X91136_548.467_12.569_NA","cluster2"
"X70999_474.261_9.32_NA;PE(22:6/0:0); [M+H]+ C27H45N1O7P1","cluster2"
"X40855_295.153_5.599_NA","cluster2"
"X35482_363.143_5.055_NA","cluster2"
"X85875_343.227_11.003_NA","cluster2"
"X22241_318.206_4.014_NA","cluster2"
"X6171_162.055_2.345_NA","cluster2"
"X52248_276.144_6.766_NA","cluster2"
"X42031_202.191_5.73_NA","cluster2"
"X64049_251.164_8.277_NA;NCGC00347803-02_C20H32O4_1-Naphthalenecarboxylic acid, decahydro-5-[(3E)-5-hydroxy-3-(hydroxymethyl)-3-penten-1-yl]-1,4a-dimethyl-6-methylene-","cluster2"
"X13703_370.149_3.229_NA","cluster2"
"X90429_907.259_12.326_NA;(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-2-[[(3S,6S,8R,10R,12R,13R,14R,17S)-3,12-dihydroxy-4,4,8,10,14-pentamethyl-17-[(2S)-6-methyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-5-en-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol","cluster2"
"X29149_388.16_4.611_NA","cluster2"
"X81698_255.138_10.506_NA","cluster2"
"X59960_387.179_7.724_NA","cluster2"
"X91645_757.495_12.7_NA;[4-[4,5-dihydroxy-6-methyl-3-(3,4,5-trihydroxyoxan-2-yl)oxyoxan-2-yl]oxy-6-[2-(3,4-dihydroxyphenyl)ethoxy]-5-hydroxy-2-(hydroxymethyl)oxan-3-yl] (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate","cluster2"
"X92294_783.429_13.05_NA","cluster2"
"X92307_761.447_13.05_NA;[3,4-dihydroxy-6-[5-hydroxy-2-(4-hydroxyphenyl)-4-oxo-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-3-yl]oxy-5-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]methyl acetate","cluster2"
"X83549_806.508_10.683_NA;SQDG(18:0/18:3); [M+NH4]+ C45H84N1O12S1","cluster2"
"X89853_832.523_12.132_NA","cluster2"
"X90527_832.522_12.37_NA;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one","cluster2"
"X87948_854.507_11.443_NA;(2S,3S,4S,5R,6R)-6-[[(3S,6aR,6bS,8aR,14bR)-9-hydroxy-4,4,6a,6b,8a,11,11,14b-octamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-5-[4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-3,4-dihydroxyoxane-2-carboxylic acid","cluster2"
"X89482_549.286_12.022_NA","cluster2"
"X46088_364.213_6.081_NA","cluster2"
"X71475_346.203_9.369_NA","cluster2"
"X68810_289.179_8.948_NA;Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14","cluster2"
"X87698_518.335_11.415_NA","cluster2"
"X53498_382.811_6.923_NA","cluster2"
"X8627_229.107_2.686_NA","cluster2"
"X72027_616.176_9.432_NA","cluster2"
"X65804_361.357_8.535_NA","cluster2"
"X75113_646.473_9.772_NA","cluster2"
"X53602_380.813_6.933_NA","cluster2"
"X53460_427.869_6.912_NA","cluster2"
"X53459_425.871_6.915_NA","cluster2"
"X53771_383.806_6.95_NA","cluster2"
"X54129_381.808_6.99_NA","cluster2"
"X54153_379.81_6.988_NA","cluster2"
"X52408_381.808_6.785_NA","cluster2"
"X53604_426.866_6.925_NA","cluster2"
"X53617_424.868_6.93_NA","cluster2"
"X53526_422.87_6.915_NA","cluster2"
"X53482_428.864_6.913_NA","cluster2"
"X76629_343.246_9.961_NA","cluster2"
"X76686_475.324_9.952_NA;Spectral Match to .beta.-Cryptoxanthin from NIST14","cluster2"
"X76622_426.342_9.947_NA;Spectral Match to Nonaethylene glycol from NIST14","cluster2"
"X76552_470.368_9.94_NA;Spectral Match to Nonaethylene glycol from NIST14","cluster2"
"X76628_321.263_9.942_NA;Spectral Match to Nonaethylene glycol from NIST14","cluster2"
"X76631_387.272_9.943_NA","cluster2"
"X76449_514.394_9.934_NA;Spectral Match to Nonaethylene glycol from NIST14","cluster2"
"X76691_382.316_9.953_NA;Spectral Match to Hexaethylene glycol from NIST14","cluster2"
"X76355_558.421_9.928_NA;Spectral Match to Decaethylene glycol from NIST14","cluster2"
"X76632_431.298_9.943_NA","cluster2"
"X88700_460.399_11.783_NA","cluster2"
"X87973_482.405_11.5_NA","cluster2"
"X90848_566.477_12.473_NA","cluster2"
"X53913_335.148_6.963_NA","cluster2"
"X41260_356.17_5.644_NA","cluster2"
"X59763_319.19_7.776_NA","cluster2"
"X72319_331.19_9.468_NA;14-(hydroxymethyl)-5,9-dimethyltetracyclo[11.2.1.0�,�?.0?,?]hexadecan-5-ol","cluster2"
"X62025_317.174_8.048_NA","cluster2"
"X45463_223.133_6.014_NA","cluster2"
"X35696_426.175_4.939_NA","cluster2"
"X67855_429.226_8.843_NA","cluster2"
"X78239_361.237_9.985_NA","cluster2"
"X2850_210.149_1.317_NA","cluster2"
"X32009_356.17_4.88_NA","cluster2"
"X15748_328.139_3.478_NA","cluster2"
"X8766_356.134_2.675_NA","cluster2"
"X36936_323.148_5.336_NA","cluster2"
"X32267_239.128_4.805_NA;zerumboneoxide","cluster2"
"X78169_431.278_10.101_NA","cluster2"
"X65661_317.174_8.424_NA;methyl 19-hydroxy-14,18-dimethyl-12-azahexacyclo[10.6.1.1�,?.0�?,�?.0�?,�?.0?,�?]icosa-3,7(20)-diene-3-carboxylate","cluster2"
"X50288_323.185_6.643_NA","cluster2"
"X79403_1045.57_10.248_NA","cluster2"
"X40860_313.163_5.577_NA","cluster2"
"X80690_467.278_10.308_NA","cluster2"
"X35962_243.087_5.191_NA","cluster2"
"X55911_308.258_7.215_NA","cluster2"
"X79945_522.355_10.289_PC(0:0/18:1); [M+H]+ C26H53N1O7P1;Spectral Match to HEPC from NIST14","cluster2"
"X34211_195.101_5.043_NA;HYDROXYPHENYLLACTIC ACID","cluster2"
"X75053_515.262_9.774_NA","cluster2"
"X73725_493.279_9.664_NA","cluster2"
"X75108_510.306_9.784_NA","cluster2"
"X57072_297.169_7.229_NA","cluster2"
"X58577_249.148_7.534_NA","cluster2"
"X2132_180.088_0.991_NA","cluster2"
"X64469_347.185_8.283_NA","cluster2"
"X68674_277.143_8.983_NA","cluster2"
"X57998_359.148_7.475_NA","cluster2"
"X70770_259.169_9.33_NA","cluster2"
"X49299_298.164_6.441_NA","cluster2"
"X64639_289.179_8.606_NA","cluster2"
"X51917_283.154_6.729_NA","cluster2"
"X56559_330.242_7.278_NA","cluster2"
"X74836_259.169_9.75_NA","cluster2"
"X86486_427.284_11.112_NA","cluster2"
"X77405_279.195_9.995_NA","cluster2"
"X78451_217.159_10.134_NA;Spectral Match to 2,6-Di-tert-butyl-4-hydroxymethylphenol from NIST14","cluster2"
"X76373_568.339_9.914_PC(22:6/0:0); [M+H]+ C30H51N1O7P1;Spectral Match to HEPC from NIST14","cluster2"
"X73749_500.277_9.63_NA;PE(22:6/0:0); [M+H]+ C27H45N1O7P1","cluster2"
"X74942_531.334_9.755_NA","cluster2"
"X72273_533.27_9.438_NA","cluster2"
"X72642_516.308_9.453_NA;Spectral Match to HEPC from NIST14","cluster2"
"X74356_518.324_9.699_PC(18:3/0:0); [M+H]+ C26H49N1O7P1;Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14","cluster2"
"X73878_432.332_9.642_NA","cluster2"
"X25888_321.144_4.332_NA","cluster2"
"X73041_518.311_9.449_NA","cluster2"
"X3351_224.164_1.626_NA","cluster2"
"X69592_271.169_9.114_NA","cluster2"
"X15716_279.133_3.257_NA","cluster2"
"X4388_353.134_2.153_NA","cluster2"
"X54546_361.164_7.114_NA","cluster2"
"X42946_251.128_5.787_NA","cluster2"
"X37696_372.165_5.226_NA","cluster2"
"X3361_264.123_1.562_NA","cluster2"
"X31223_255.122_4.719_NA","cluster2"
"X66641_267.159_8.648_NA","cluster2"
"X90134_732.576_12.224_NA;DGTSA(16:0/16:4); [M+H]+ C42H74N1O7","cluster2"
"X89108_732.576_11.912_NA","cluster2"
"X87859_732.576_11.428_NA;DGTSA(14:0/18:4); [M+H]+ C42H74N1O7","cluster2"
"X86679_704.545_11.154_NA;Contaminant vial septum ThermoFisher C5000-44B","cluster2"
"X89485_704.545_12.026_NA;[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (1S,4aR,6aS,6bR,9S,10R,11R,12aR)-1,10,11-trihydroxy-9-(hydroxymethyl)-2,2,6a,6b,9,12a-hexamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate","cluster2"
"X87501_704.545_11.444_NA","cluster2"
"X87560_856.607_11.401_NA","cluster2"
"X90174_856.608_12.24_NA","cluster2"
"X92110_704.546_12.955_NA","cluster2"
"X91493_704.545_12.731_NA;Contaminant vial septum ThermoFisher C5000-44B","cluster2"
"X86678_856.608_11.157_NA","cluster2"
"X92247_730.561_13.002_NA","cluster2"
"X91165_756.576_12.597_NA","cluster2"
"X91927_732.577_12.879_NA","cluster2"
"X91110_732.577_12.578_NA","cluster2"
"X90919_779.564_12.5_NA;[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (1S,4aR,6aS,6bR,9S,10R,11R,12aR)-1,10,11-trihydroxy-9-(hydroxymethyl)-2,2,6a,6b,9,12a-hexamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate","cluster2"
"X90402_830.591_12.204_NA","cluster2"
"X87701_580.493_11.422_NA","cluster2"
"X85468_856.608_10.817_NA","cluster2"
"X58705_323.185_7.578_NA","cluster2"
"X68778_301.179_9.021_NA;CocamidopropylBetaine","cluster2"
"X41910_337.164_5.7_NA","cluster2"
"X63898_387.216_8.252_NA;Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14","cluster2"
"X58330_319.19_7.517_NA","cluster2"
"X78042_291.195_9.992_NA","cluster2"
"X86274_618.4_11.085_NA","cluster2"
"X79998_754.436_10.307_NA","cluster2"
"X82368_319.284_10.544_NA","cluster2"
"X58422_331.259_7.526_NA","cluster2"
"X72163_373.306_9.443_NA","cluster2"
"X83988_707.362_10.765_NA","cluster2"
"X83439_592.371_10.707_NA","cluster2"
"X83711_636.399_10.738_NA","cluster2"
"X29465_355.139_4.649_NA","cluster2"
"X56152_391.211_7.242_NA","cluster2"
"X15374_336.144_3.402_NA","cluster2"
"X3186_281.149_1.606_NA","cluster2"
"X28425_309.133_4.553_NA","cluster2"
"X3539_325.139_1.771_NA","cluster2"
"X85003_445.294_10.909_NA","cluster2"
"X86048_529.352_11.033_NA","cluster2"
"X85937_425.268_11.009_NA","cluster2"
"X86006_511.341_11.022_NA","cluster2"
"X86210_546.379_10.982_NA","cluster2"
"X85734_551.336_10.982_NA","cluster2"
"X88976_457.295_11.858_NA","cluster2"
"X86861_459.273_11.197_NA","cluster2"
"X88497_726.571_11.706_NA","cluster2"
"X88496_682.544_11.706_NA","cluster2"
"X88321_457.295_11.618_NA","cluster2"
"X88656_550.467_11.757_NA;Spectral Match to Decaethylene glycol from NIST14","cluster2"
"X88627_594.493_11.747_NA;Spectral Match to Undecaethylene glycol from NIST14","cluster2"
"X88567_638.519_11.726_NA","cluster2"
"X86830_329.211_11.202_NA","cluster2"
"X88752_453.299_11.788_NA","cluster2"
"X88718_506.441_11.778_NA","cluster2"
"X88753_462.415_11.788_NA","cluster2"
"X85987_574.411_11.033_NA","cluster2"
"X68641_278.183_8.977_NA","cluster2"
"X47136_402.212_6.193_NA","cluster2"
"X4857_268.118_2.115_NA","cluster2"
"X23132_355.139_4.102_NA","cluster2"
"X59586_263.164_7.752_NA","cluster2"
"X41445_251.128_5.553_NA;NCGC00385949-01_C15H20O4_3a-Hydroxy-3,5a,9-trimethyl-3a,5,5a,6,7,9b-hexahydronaphtho[1,2-b]furan-2,8(3H,4H)-dione","cluster2"
"X79625_217.159_10.371_NA","cluster2"
"X64029_217.122_8.274_NA;Dehydrocostus lactone CollisionEnergy:102040","cluster2"
"X64316_231.138_8.313_20554-84-1 CollisionEnergy:205060","cluster2"
"X66100_251.164_8.495_NA","cluster2"
"X41567_307.153_5.67_NA","cluster2"
"X90544_999.288_12.384_NA;Contaminant vial septum ThermoFisher C5000-44B","cluster2"
"X89822_475.414_12.123_NA","cluster2"
"X76684_415.247_9.947_NA;B18A06_Vallartanone_B","cluster2"
"X62649_389.195_8.025_NA","cluster2"
"X27225_455.19_4.447_NA","cluster2"
"X30087_442.17_4.619_NA","cluster2"
"X59776_516.332_7.695_NA","cluster2"
"X3493_267.134_1.684_NA","cluster2"
"X63189_391.211_8.148_NA","cluster2"
"X51306_367.211_6.656_NA","cluster2"
"X43433_295.153_5.836_NA","cluster2"
"X55229_237.148_7.126_NA","cluster2"
"X33388_339.144_4.975_NA","cluster2"
"X38594_253.143_5.415_NA;Curcumenol","cluster2"
"X31377_269.138_4.801_NA;NCGC00385949-01_C15H20O4_3a-Hydroxy-3,5a,9-trimethyl-3a,5,5a,6,7,9b-hexahydronaphtho[1,2-b]furan-2,8(3H,4H)-dione","cluster2"
"X44720_365.196_5.942_NA","cluster2"
"X28574_337.127_4.564_NA","cluster2"
"X79674_289.179_10.154_NA","cluster2"
"X18138_328.223_3.66_NA","cluster2"
"X71622_324.243_9.376_NA","cluster2"
"X24379_344.254_4.22_NA;Spectral Match to Leu-Leu from NIST14","cluster2"
"X21522_392.218_3.975_NA","cluster2"
"X13775_378.202_3.248_NA","cluster2"
"X3034_266.138_1.453_NA","cluster2"
"X40236_407.169_5.553_NA","cluster2"
"X36244_369.154_5.276_NA","cluster2"
"X18267_379.138_3.674_NA","cluster2"
"X17201_409.149_3.748_NA","cluster2"
"X12232_404.155_3.07_NA","cluster2"
"X12002_432.15_3.065_NA","cluster2"
"X5234_205.097_2.301_Spectral Match to L-Tryptophan from NIST14","cluster2"
"X2615_296.149_1.053_NA","cluster2"
"X38195_309.133_5.381_NA","cluster2"
"X15762_402.176_3.57_NA","cluster2"
"X5578_321.144_2.252_NA","cluster2"
"X32423_407.169_4.852_NA","cluster2"
"X69172_703.495_9.066_NA","cluster2"
"X65425_645.453_8.477_NA","cluster2"
"X68635_665.444_8.976_NA","cluster2"
"X68786_660.489_8.998_NA","cluster2"
"X55979_529.37_7.232_NA","cluster2"
"X60857_587.411_7.849_NA","cluster2"
"X76650_528.158_9.951_NA","cluster2"
"X47649_336.162_6.256_NA","cluster2"
"X66892_530.389_8.699_NA","cluster2"
"X51076_315.179_6.637_NA","cluster2"
"X78943_397.258_10.195_NA","cluster2"
"X50338_229.143_6.562_NA;Spectral Match to Monolaurin from NIST14","cluster2"
"X70316_454.301_9.211_NA","cluster2"
"X82658_538.394_10.611_NA","cluster2"
"X71060_588.431_9.32_NA","cluster2"
"X61114_472.348_7.881_NA","cluster2"
"X78464_413.252_10.138_NA","cluster2"
"X54421_414.305_7.033_NA","cluster2"
"X72982_468.316_9.521_NA","cluster2"
"X80142_515.318_10.462_NA","cluster2"
"X79266_510.363_10.312_NA","cluster2"
"X49964_246.17_6.513_NA;Massbank:UF411401 Gabapentin|1-(Aminomethyl)cyclohexaneacetic acid| 2-[1-(aminomethyl)cyclohexyl]acetic acid","cluster2"
"X31894_369.154_4.806_NA","cluster2"
"X8572_293.149_2.681_NA","cluster2"
"X46038_396.201_5.956_NA","cluster2"
"X45722_384.201_5.906_NA","cluster2"
"X15266_426.175_3.575_NA","cluster2"
"X27946_382.186_4.509_NA","cluster2"
"X15792_353.134_3.442_NA","cluster2"
"X9227_446.166_2.756_NA","cluster2"
"X2320_294.169_1.063_NA","cluster2"
"X89181_908.237_11.883_NA;(3S,4R,6aR,6bS,8aS,11R,12R,12aS,14bR)-3,12-dihydroxy-4,6a,6b,11,12,14b-hexamethyl-8a-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,11,12a,14,14a-tetradecahydropicene-4-carboxylic acid","cluster2"
"X5009_249.123_2.145_NA","cluster2"
"X8036_365.134_2.613_NA","cluster2"
"X27840_163.133_4.497_NA","cluster2"
"X27712_180.159_4.501_NA","cluster2"
"X16150_257.149_3.473_NA","cluster2"
"X14210_217.143_3.283_NA","cluster2"
"X75431_664.426_9.819_NA","cluster2"
"X74113_650.411_9.672_NA","cluster2"
"X77207_678.442_10_NA","cluster2"
"X5817_278.175_2.291_NA","cluster2"
"X4502_248.164_2.036_NA","cluster2"
"X61508_345.169_8.021_NA","cluster2"
"X46981_300.18_6.173_NA;Massbank:NA001582 Artemisinin","cluster2"
"X68101_607.41_8.883_NA","cluster2"
"X34306_396.201_5.117_NA","cluster2"
"X7885_398.144_2.594_NA","cluster2"
"X4825_295.128_2.15_NA","cluster2"
"X32148_351.144_4.868_NA","cluster2"
"X3428_309.107_1.648_NA","cluster2"
"X14426_382.149_3.306_NA","cluster2"
"X27931_342.154_4.543_NA","cluster2"
"X62259_361.2_8.107_NA","cluster2"
"X5288_282.133_2.195_NA","cluster2"
"X28244_199.096_4.539_NA;Methyl caffeate CollisionEnergy:205060","cluster2"
"X44935_402.212_5.963_NA","cluster2"
"X16831_321.144_3.458_NA","cluster2"
"X19660_365.122_3.799_NA","cluster2"
"X9764_383.145_2.815_NA","cluster2"
"X24491_379.138_4.384_NA","cluster2"
"X6470_260.164_2.398_NA","cluster2"
"X2965_223.108_1.406_NA","cluster2"
"X77559_293.174_10.026_NA;dihydroauroglaucin","cluster2"
"X48887_430.295_6.396_NA","cluster2"
"X84190_588.41_10.791_NA;Betaine Lipid DGCC 16:0","cluster2"
"X67125_773.458_8.736_NA","cluster2"
"X64814_657.41_8.387_NA","cluster2"
"X35706_303.238_5.18_NA","cluster2"
"X77505_446.326_10.029_NA","cluster2"
"X27913_397.149_4.507_NA","cluster2"
"X32651_423.164_4.905_NA","cluster2"
"X41195_393.19_5.73_NA","cluster2"
"X67382_303.195_8.768_NA","cluster2"
"X9909_400.16_2.813_NA","cluster2"
"X55542_335.185_7.071_NA","cluster2"
"X92161_1296.362_12.976_NA;Contaminant vial septum ThermoFisher C5000-44B","cluster2"
"X92216_1295.364_12.987_NA;Contaminant vial septum ThermoFisher C5000-44B","cluster2"
"X89415_951.32_12.005_NA","cluster2"
"X92240_1071.327_12.993_NA;Contaminant vial septum ThermoFisher C5000-44B","cluster2"
"X90209_982.256_12.254_NA;Contaminant vial septum ThermoFisher C5000-44B","cluster2"
"X34318_440.191_5.05_NA","cluster2"
"X36992_386.18_5.379_NA","cluster2"
"X26699_330.154_4.398_NA","cluster2"
"X20778_374.144_3.864_NA","cluster2"
"X41362_323.148_5.69_NA","cluster2"
"X30439_400.16_4.719_NA","cluster2"
"X74421_313.179_9.704_NA","cluster2"
"X58486_305.174_7.319_NA","cluster2"
"X34980_356.17_5.101_NA","cluster2"
"X65071_267.159_8.415_NA","cluster2"
"X51863_440.227_6.745_NA","cluster2"
"X75731_303.195_9.852_NA;14-(hydroxymethyl)-5,9-dimethyltetracyclo[11.2.1.0�,�?.0?,?]hexadecan-5-ol","cluster2"
"X37973_328.175_5.289_NA","cluster2"
"X30037_414.175_4.684_NA","cluster2"
"X12765_335.123_3.227_NA","cluster2"
"X5006_276.159_2.144_NA","cluster2"
"X81170_536.394_10.439_NA","cluster2"
"X60287_389.195_7.689_NA","cluster2"
"X43925_293.138_5.687_NA","cluster2"
"X45523_279.159_6.019_NA","cluster2"
"X54959_349.201_7.1_NA","cluster2"
"X58660_361.164_7.452_NA","cluster2"
"X20988_274.18_3.92_NA","cluster2"
"X65478_287.164_8.313_NA","cluster2"
"X35643_384.165_5.088_NA","cluster2"
"X77649_315.195_10.03_1,4a-dimethyl-9-oxo-7-propan-2-yl-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid","cluster2"
"X82941_219.174_10.643_NA","cluster2"
"X69762_331.19_9.23_NA","cluster2"
"X56215_182.154_7.25_NA","cluster2"
"X56119_378.19_7.236_NA","cluster2"
"X54894_337.2_7.126_NA","cluster2"
"X58115_380.206_7.488_NA","cluster2"
"X67935_287.164_8.748_NA","cluster2"
"X63082_375.179_7.966_NA","cluster2"
"X47163_400.233_6.291_NA","cluster2"
"X92603_322.237_13.768_NA","cluster2"
"X92596_322.237_13.562_NA","cluster2"
"X92541_294.206_13.208_NA","cluster2"
"X77479_211.169_10.037_NA","cluster2"
"X85689_394.294_10.865_NA","cluster2"
"X71790_283.19_9.403_NA","cluster2"
"X86791_473.212_11.187_NA","cluster2"
"X78833_251.164_10.171_NA","cluster2"
"X84234_337.237_10.798_NA","cluster2"
"X76499_251.164_9.927_NA;Spectral Match to Diethyl phthalate from NIST14","cluster2"
"X77669_233.153_10.048_Massbank:NA003096 (+)-Costunolide|Costunolide|(3aS,6E,10E,11aR)-6,10-dimethyl-3-methylidene-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-2-one","cluster2"
"X85964_501.32_10.944_NA","cluster2"
"X84240_576.353_10.712_NA","cluster2"
"X83083_590.369_10.66_NA","cluster2"
"X85542_484.363_10.96_NA","cluster2"
"X65951_209.153_8.624_NA","cluster2"
"X76385_309.205_9.909_NA","cluster2"
"X71715_307.19_9.53_NA","cluster2"
"X81762_341.23_10.519_NA","cluster2"
"X26937_495.277_4.422_NA","cluster2"
"X21318_407.226_3.981_NA","cluster2"
"X24340_451.252_4.206_NA","cluster2"
"X72212_243.159_9.454_NA","cluster2"
"X81661_341.231_10.496_NA","cluster2"
"X76949_327.216_9.976_NA","cluster2"
"X66250_295.19_8.639_NA","cluster2"
"X60204_377.195_7.825_NA","cluster2"
"X65713_461.252_8.517_NA","cluster2"
"X71463_271.169_9.367_NA","cluster2"
"X69545_287.164_9.114_NA","cluster2"
"X30682_264.195_4.739_NA","cluster2"
"X47082_314.211_6.141_NA","cluster2"
"X61861_366.227_7.872_NA","cluster2"
"X56816_335.185_7.319_NA","cluster2"
"X92167_1148.324_12.993_NA;(2S,3S,4S,5R,6R)-6-[[(3S,4S,6aR,6bS,8R,8aR,9R,10R,12aS,14bR)-8a-(acetyloxymethyl)-8,9-dihydroxy-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-10-[(E)-2-methylbut-2-enoyl]oxy-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4-hydroxy-3,5-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]oxane-2-carboxylic acid","cluster2"
"X92214_1147.325_12.997_NA;Contaminant vial septum ThermoFisher C5000-44B","cluster2"
"X5350_384.129_2.21_NA","cluster2"
